area,year,mean_temp_c
Lübars,2023,26.984136895777795
Müggelheim,2023,23.24095966233483
Bohnsdorf,2023,28.170098869489607
Staaken,2023,27.915389902542756
Siemensstadt,2023,28.638557234784457
Falkenberg,2023,28.15331981789734
Friedrichsfelde,2023,29.5150807708078
Neu-Hohenschönhausen,2023,28.071782036733566
Oberschöneweide,2023,28.439822680412362
Stahnsdorf,2023,25.959983040116185
Kleinmachnow,2023,24.613088486316883
Teltow,2023,26.620108553893317
Stahnsdorf,2023,25.589647545527782
Seeburg,2023,25.641490329973294
Dallgow-Döberitz,2023,25.138066540476586
Falkensee,2023,26.36135183675583
Schönwalde-Glien,2023,25.240147427131546
Hennigsdorf,2023,24.93014000088243
Hohen Neuendorf,2023,25.10682842043599
Mühlenbecker Land,2023,24.892455909972853
Glienicke/Nordbahn,2023,26.34424053320936
Panketal,2023,26.40799699376919
Ahrensfelde,2023,26.88963196876017
Hoppegarten,2023,27.207300110184633
